file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
s01e05,311.975,314.71,speaker,-40.23174937042125,-42.98589769999186,24.272729663458872,6.061546947983924
s01e03,1231.525,1234.025,speaker,-42.158140625,-43.34649658203125,16.85996772487173,2.653631412525902
s01e05,385.015,388.285,speaker,-44.34825950879205,-44.925783045151654,16.151809452434563,12.03368408250437
s01e05,1181.745,1184.045,speaker,-41.96389266304348,-44.148475646972656,16.11678039714408,0.9507823306970806
s01e02,1087.88,1089.72,speaker,-39.55438763162364,-40.07631174723307,16.00567522103861,13.076432605050867
s01e03,235.565,237.3,speaker,-30.505836925287355,-30.186071395874023,15.514215214316117,13.123998565647844
s01e05,324.95,327.52,speaker,-42.76205313715953,-50.50357298417525,15.2821107878402,8.69109542088301
s01e01,304.195,307.935,speaker,-54.555371615975936,-56.558288846697124,14.640360007481664,8.339667021129237
s01e01,1347.205,1349.68,speaker,-47.560235792590724,-50.26277287801107,13.727427014090253,-0.05823373021506839
s01e03,936.28,938.3,speaker,-40.94385732518565,-51.15952377319336,13.259260448860509,3.0001479900102233
s01e02,1241.065,1243.8,speaker,-34.08184523809524,-38.00153579711914,13.138172560550053,13.171638770587093
s01e01,274.87,278.205,speaker,-36.9243090746997,-47.70123839378357,12.952869255745156,3.8161265540674805
s01e01,269.88,271.7,speaker,-40.81148319453983,-47.2757199605306,11.657223466533072,7.438045827726064
s01e02,1127.02,1128.92,speaker,-50.475770970394734,-50.148047597784746,11.567248984123227,9.504463443040144
s01e01,1302.03,1304.06,speaker,-47.86088073429803,-55.22196905953543,11.474191079902303,4.5917675100019455
s01e04,186.115,188.715,speaker,-48.22072566105769,-48.017349589954726,11.384765104870606,11.707707896094604
s01e05,314.71,318.245,speaker,-45.16601010769774,-47.02454024094801,11.329408597185013,11.98830537712037
s01e05,778.04,781.045,speaker,-46.564235026041665,-50.5857671540359,11.258092348944091,10.670178593373429
s01e05,511.805,515.11,speaker,-46.71823074018127,-47.50853382457387,11.193009668284555,3.291638548211104
s01e05,693.82,696.755,speaker,-48.47233295115188,-49.09825202396938,11.162024490611346,13.070343436885617
s01e01,540.735,543.235,speaker,-47.516359375,-50.373390706380206,10.813452071426081,10.464270722351245
s01e01,534.895,537.495,speaker,-40.66576397235577,-45.48779487609863,10.679353954418701,8.527461407072218
s01e02,886.08,887.915,speaker,-46.458530780396174,-47.86122703552246,10.642004846467454,8.82878828802329
s01e02,270.8,274.065,speaker,-41.93641859183282,-44.47503398014949,10.55763173901907,7.492203146452217
s01e05,288.35,289.85,speaker,-42.00855143229167,-45.25431823730469,10.38780751292278,13.35551278391016
s01e01,554.92,557.565,speaker,-41.518650501179245,-44.53561019897461,10.371791403227832,0.08847046865556507
s01e04,797.99,800.06,speaker,-39.784571256038646,-47.283870697021484,10.266384965238702,7.527435872818145
s01e01,690.985,692.52,speaker,-47.035603043300654,-48.876925786336265,10.164952099889623,10.30427955234627
s01e04,691.985,695.86,speaker,-45.06371818621134,-47.44180653889974,10.163038295425597,12.407892476140928
s01e04,246.04,248.94,speaker,-39.14080010775862,-46.81027003696987,10.084897577549661,12.442269505555501
s01e02,1337.9,1340.265,speaker,-48.7994915282173,-48.82470306396485,9.988710630251617,11.531137162693337
s01e05,238.2,240.165,speaker,-56.275043623096444,-56.00292686794115,9.88401769939799,7.301630035964511
s01e04,619.75,621.715,speaker,-44.52924234612944,-47.756334940592446,9.842827160318592,4.908845356777963
s01e03,101.5,103.465,speaker,-41.28444737468274,-47.02802658081055,9.745824641609415,9.499788314147278
s01e01,1159.22,1162.59,speaker,-43.453058350333826,-46.25402514139811,9.665137469614228,8.66766972595472
s01e02,199.295,202.2,speaker,-45.38061439540378,-47.34575826471502,9.659055981096913,9.540861502464569
s01e03,445.01,447.78,speaker,-42.63697963673285,-50.11926778157552,9.627805084025002,10.100325907625882
s01e02,242.47,244.105,speaker,-41.88691046779141,-49.047050857543944,9.60128652323842,5.00184875556956
s01e05,130.825,133.73,speaker,-46.24034847508591,-48.42128208705357,9.60128652323842,0.707341685880408
s01e05,887.08,889.585,speaker,-40.0765,-46.90372085571289,9.573561969985231,12.586522027752489
s01e04,159.52,161.155,speaker,-42.24680670053681,-46.65218276977539,9.398816184655143,9.345383191540101
s01e05,656.68,659.52,speaker,-48.880622111575704,-50.931579399108884,9.32676963917044,8.217336751535225
s01e02,40.57,42.4,speaker,-48.70333845628415,-51.84731810433524,9.249696917849635,9.133404253685583
s01e04,455.885,458.39,speaker,-44.75841015625,-46.507294464111325,9.14937334222053,1.8936117545016007
s01e05,96.86,100.625,speaker,-45.08617581233422,-48.6925327903346,9.149290443938893,-2.807998901099559
s01e03,612.475,614.81,speaker,-49.247196050160944,-50.044922419956755,9.134244790132446,11.113801686886134
s01e02,171.8,174.74,speaker,-42.42909956951531,-44.54265954759386,9.107074255370598,10.961710959146938
s01e04,651.08,653.15,speaker,-40.18141889341788,-44.15515899658203,9.095423705792205,10.515516837083467
s01e03,866.86,868.86,speaker,-48.481572265625,-51.211015261136566,9.094894225026302,8.679345359731087
s01e05,853.1,855.62,speaker,-40.17607576884921,-44.22137641906738,9.00043322995391,10.660255485420109
s01e01,1034.93,1036.965,speaker,-44.3736626385468,-44.18222427368164,8.987101980470793,14.423930446695689
s01e04,231.59,233.325,speaker,-39.77469348356214,-41.68097432454427,8.971249493469967,4.627798566246554
s01e04,551.25,553.28,speaker,-41.51137719365764,-44.234579722086586,8.824330150431539,10.827128497999288
s01e03,430.29,433.225,speaker,-41.49898025616496,-44.56212952557732,8.822532404140663,10.413830374174484
s01e05,921.985,925.42,speaker,-47.43434538994169,-50.24387573242188,8.794290474422272,9.765563477309334
s01e03,735.095,736.495,speaker,-46.16632603236607,-46.726173400878906,8.776605318829201,11.260194993945046
s01e02,68.665,71.165,speaker,-44.51725,-48.532861215096936,8.720768292385957,7.5321009594225234
s01e05,134.46,138.7,speaker,-43.84536224941038,-50.55959164654767,8.720714951753195,3.74890975944173
s01e05,542.07,546.04,speaker,-47.06839873268262,-48.510856764657156,8.717040968228805,5.074700324851012
s01e01,915.71,918.915,speaker,-47.90977783203125,-49.85300229943317,8.704666900555125,6.596976142401079
